CustomerId,CategoryOfItemsId,Turnover,Potential,UnusedPotential,NoOfItems,Name
23848,7800,41435.93,98541.03,57105.1,13,Sijalice                      
23848,7806,0,34100.47,34100.47,0,Rukavice - Zaštita na radu
23848,7815,92.28,15600.92,15508.64,3,Radna odeća -Zaštita na radu
23848,7859,0,13430.71,13430.71,0,Podmazivači                   
23848,7863,0,91799.44,91799.44,0,Brisači auto stakla           
23848,7869,0,12301.07,12301.07,0,"Šelne za creva, ZEBRA         "
23848,7871,0,8592.75,8592.75,0,WOW i Klima stanice                        
23848,7874,19389.75,19389.75,0,1,"Creva za gorivo, PVC creva    "
23848,7877,913,0,0,0,Kablovske vezice              
23848,7900,0,72122.7,72122.7,0,Antifriz                      
23848,7904,0,8891.33,8891.33,0,Triathlon                     
23848,7905,0,18538.73,18538.73,0,Sredstva za negu i održavanje 
23848,7909,0,27420.15,27420.15,0,Cipele - Zaštita na radu
23848,7998,18744,34942.96,16198.96,5,RUČNI ALAT
23848,8057,0,16537.41,16537.41,0,Pantalone - Zaštita na radu
23848,8059,17424,102505.45,85081.45,1,Čistač kočnica
14688,7800,4688.4,44033.37,39344.97,1,Sijalice                      
14688,7806,1970.47,39051.89,37081.42,1,Rukavice - Zaštita na radu
14688,7815,795.37,93804.76,93009.39,1,Radna odeća -Zaštita na radu
14688,7820,61970,61970,0,3,MASTER mašine                 
14688,7824,3829.8,0,0,0,"Nitne (blind, sa navojem)     "
14688,7853,3288.96,0,0,0,Rezne ploče          
14688,7859,0,42824.32,42824.32,0,Podmazivači                   
14688,7860,0,26988.52,26988.52,0,Radionička oprema             
14688,7898,0,28860.5,28860.5,0,Zavarivanje - Aparati za zavar
14688,7900,0,45636.06,45636.06,0,Antifriz                      
14688,7904,0,72911.4,72911.4,0,Triathlon                     
14688,7908,0,55199.44,55199.44,0,Masti                         
14688,7909,0,48374.1,48374.1,0,Cipele - Zaštita na radu
14688,7986,0,36033.27,36033.27,0,Hidraulična ulja
14688,7998,0,126653.57,126653.57,0,RUČNI ALAT
14688,8059,0,46324.66,46324.66,0,Čistač kočnica
14688,8062,10170,25484.72,15314.72,3,Radna odela - Zaštita na radu
26556,7805,0,40029.1,40029.1,0,K+D/MS Polimeri               
26556,7806,31392.53,31392.53,0,18,Rukavice - Zaštita na radu
26556,7808,726,23832.39,23106.39,3,Burgije za metal              
26556,7819,9744,68830.54,59086.54,1,PUR pene                      
26556,7820,0,21254.96,21254.96,0,MASTER mašine                 
26556,7829,1243.2,23794.82,22551.62,1,Vijci za gips                 
26556,7853,0,36938.7,36938.7,0,Rezne ploče          
26556,7862,0,23401.1,23401.1,0,Mašinski navoj                
26556,7884,0,25340.14,25340.14,0,Silikoni                      
26556,7893,0,59404.47,59404.47,0,Bašta - motorni program
26556,7909,0,42815.74,42815.74,0,Cipele - Zaštita na radu
26556,7911,0,16187.84,16187.84,0,Zavarivanje - Elektrode - osno
26556,7982,0,15754.99,15754.99,0,Navojne štangle
26556,7983,0,16082.42,16082.42,0,Varifix
26556,7998,0,17182.87,17182.87,0,RUČNI ALAT
36185,7808,5948.99,11603.91,5654.92,5,Burgije za metal              
36185,7809,0,8493.1,8493.1,0,"Ostali rezni alat (ureznice, n"
36185,7815,0,11247.89,11247.89,0,Radna odeća -Zaštita na radu
36185,7816,0,10015.76,10015.76,0,Vijci za lim                  
36185,7819,17367.48,53686.06,36318.58,1,PUR pene                      
36185,7820,0,11838.11,11838.11,0,MASTER mašine                 
36185,7821,0,5456.53,5456.53,0,Samobušeći vijci              
36185,7842,3899.38,5234.07,1334.69,2,Građevinske burgije           
36185,7846,13616.74,13616.74,0,2,Elastični tiplovi i Turbo vijc
36185,7856,1329.9,5985.27,4655.37,1,Vijci za drvo                 
36185,7884,0,7992.65,7992.65,0,Silikoni                      
36185,7888,22192.2,47202.71,25010.51,4,Vijci za PVC                  
36185,7909,0,8698.21,8698.21,0,Cipele - Zaštita na radu
36185,7998,0,20752.71,20752.71,0,RUČNI ALAT
36185,8062,0,6056.38,6056.38,0,Radna odela - Zaštita na radu
116821,7806,402.74,6445.54,6042.8,1,Rukavice - Zaštita na radu
116821,7808,0,3129.56,3129.56,0,Burgije za metal              
116821,7809,0,3820.66,3820.66,0,"Ostali rezni alat (ureznice, n"
116821,7815,0,32273.39,32273.39,0,Radna odeća -Zaštita na radu
116821,7820,23980,23980,0,1,MASTER mašine                 
116821,7836,0,5252.6,5252.6,0,"Ankeri, tiplovi               "
116821,7849,0,8015.84,8015.84,0,Protivpožarna zaštita
116821,7862,0,6995.17,6995.17,0,Mašinski navoj                
116821,7865,0,6001.79,6001.79,0,Šelne sa gumom i instalacije
116821,7909,0,23737.77,23737.77,0,Cipele - Zaštita na radu
116821,7982,0,5159.91,5159.91,0,Navojne štangle
116821,7983,0,3333.96,3333.96,0,Varifix
116821,7998,18990,23788.61,4798.61,1,RUČNI ALAT
116821,8057,0,6983.13,6983.13,0,Pantalone - Zaštita na radu
116821,8062,0,3528.03,3528.03,0,Radna odela - Zaštita na radu
127400,7806,0,7365.66,7365.66,0,Rukavice - Zaštita na radu
127400,7808,0,3576.31,3576.31,0,Burgije za metal              
127400,7809,0,4366.07,4366.07,0,"Ostali rezni alat (ureznice, n"
127400,7815,5550.3,36880.53,31330.23,3,Radna odeća -Zaštita na radu
127400,7820,0,27403.22,27403.22,0,MASTER mašine                 
127400,7836,0,6002.43,6002.43,0,"Ankeri, tiplovi               "
127400,7849,0,9160.13,9160.13,0,Protivpožarna zaštita
127400,7862,0,7993.75,7993.75,0,Mašinski navoj                
127400,7865,0,6858.56,6858.56,0,Šelne sa gumom i instalacije
127400,7909,0,27126.41,27126.41,0,Cipele - Zaštita na radu
127400,7982,0,5896.51,5896.51,0,Navojne štangle
127400,7983,0,3809.89,3809.89,0,Varifix
127400,7998,1885.81,27184.52,25298.71,1,RUČNI ALAT
127400,8057,7980,7980,0,1,Pantalone - Zaštita na radu
127400,8062,0,4031.67,4031.67,0,Radna odela - Zaštita na radu
